lemma,status,prooflength
# prelude: .
# output_dir: search-report-compcert
# verbose: 0
# progress: True
# read_progress: False
# hardfail: False
# context_filter: None
# weightsfile: /home/zoe/Desktop/proverbot9001/bench/../data/polyarg-weights-compcert.dat
# predictor: None
# truncate_semicolons: True
# search_width: 5
# max_attempts: 10
# search_depth: 6
# hard_depth_limit: 200
# resume: True
# overwrite_mismatch: False
# max_print_term: None
# max_print_hyps: None
# max_print_subgoals: 2
# max_proof_time: 300
# max_tactic_time: 2
# linearize: False
# proof_times: None
# filenames: [PosixPath2('point_cocyclicite.v'), PosixPath2('point_napoleon.v'), PosixPath2('point_angle.v'), PosixPath2('point_tangente.v'), PosixPath2('point_orthocentre.v'), PosixPath2('point_Simson.v')]
# use_hammer: False
# check_consistent: True
# show_failing_predictions: False
# count_failing_predictions: False
# count_softfail_predictions: False
# careful: False
# relevant_lemmas: local
# command_limit: None
# proof: None
# log_anomalies: None
# log_hard_anomalies: None
# num_threads: 4
"Lemma calcul4 :
 forall a b c d : AV,
 R (plus (plus a b) (plus c d)) (plus (plus a c) (plus b d)).",FAILURE,21
"Theorem angle_inscrit :
 forall A B M O : PO,
 isocele O M A ->
 isocele O M B ->
 R (double (cons (vec M A) (vec M B))) (cons (vec O A) (vec O B)).",FAILURE,64
"Lemma triangle_rectangle :
 forall A B M O : PO,
 isocele O M A ->
 isocele O M B ->
 orthogonal (vec M A) (vec M B) -> R (cons (vec O A) (vec O B)) pi.",FAILURE,10
"Lemma triangle_diametre :
 forall A B M O : PO,
 isocele O M A ->
 isocele O M B ->
 R (cons (vec O A) (vec O B)) pi -> orthogonal (vec M A) (vec M B).",FAILURE,9
"Theorem cocyclique :
 forall M A B O M' : PO,
 isocele O A B ->
 isocele O M A ->
 isocele O M B ->
 isocele O M' A ->
 isocele O M' B ->
 R (double (cons (vec M' A) (vec M' B))) (double (cons (vec M A) (vec M B))).",FAILURE,11
"Lemma exists_opp_angle : forall a : AV, exists b : AV, R (plus a b) zero.",FAILURE,16
"Lemma construction_orthogonal : forall u : V, exists v : V, orthogonal v u.",FAILURE,19
"Lemma unicite_circonscrit :
 forall M A B O O' : PO,
 isocele O A B ->
 isocele O M B ->
 isocele O M A ->
 isocele O' A B ->
 isocele O' M B ->
 isocele O' M A ->
 (colineaire (vec O A) (vec O' A) /\ colineaire (vec O B) (vec O' B)) /\
 colineaire (vec O M) (vec O' M).",FAILURE,201
"Lemma construction_isocele_base :
 forall (A B : PO) (a : AV),
 exists u : V,
   (exists v : V,
      R (cons (vec A B) u) (cons v (vec B A)) /\ R (cons u v) (double a)).",FAILURE,137
"Lemma abba : forall A B : PO, R (cons (vec A B) (vec B A)) pi.",FAILURE,11
"Lemma calcul5 :
 forall a b c d : AV,
 R (plus (plus a (plus b c)) (plus d d))
   (plus a (plus (plus d b) (plus d c))).",FAILURE,16
"Lemma construction_circonscrit_vecteur :
 forall M A B : PO,
 ex
   (fun u : V =>
    ex
      (fun v : V =>
       ex
         (fun w : V =>
          (R (cons u v) (double (cons (vec M A) (vec M B))) /\
           R (cons u w) (double (cons (vec B A) (vec B M))) /\
           R (cons v w) (double (cons (vec A B) (vec A M)))) /\
          R (cons (vec A B) u) (cons v (vec B A)) /\
          R (cons w (vec M B)) (cons (vec B M) v) /\
          R (cons (vec M A) w) (cons u (vec A M))))).",INCOMPLETE,324
"Lemma isocele_sym : forall A B C : PO, isocele A B C -> isocele A C B.",SUCCESS,38
"Theorem reciproque_cocyclique :
 forall M A B M' : PO,
 ~ colineaire (vec M A) (vec M B) ->
 R (double (cons (vec M' A) (vec M' B))) (double (cons (vec M A) (vec M B))) ->
 sont_cocycliques M A B M'.",INCOMPLETE,167
"Lemma changement_base_cocyclique :
 forall A B C D : PO,
 ~ colineaire (vec C A) (vec C B) ->
 R (double (cons (vec C A) (vec C B))) (double (cons (vec D A) (vec D B))) ->
 R (double (cons (vec A C) (vec A D))) (double (cons (vec B C) (vec B D))).",FAILURE,35
"Lemma changement_base_cocyclique_2 :
 forall A B C D : PO,
 ~ colineaire (vec C A) (vec C B) ->
 R (double (cons (vec C A) (vec C B))) (double (cons (vec D A) (vec D B))) ->
 R (double (cons (vec B C) (vec B A))) (double (cons (vec D C) (vec D A))).",FAILURE,35
# prelude: .
# output_dir: search-report-compcert
# verbose: 0
# progress: True
# read_progress: False
# hardfail: False
# context_filter: None
# weightsfile: /home/zoe/Desktop/proverbot9001/bench/../data/polyarg-weights-compcert.dat
# predictor: None
# truncate_semicolons: True
# search_width: 5
# max_attempts: 10
# search_depth: 6
# hard_depth_limit: 200
# resume: True
# overwrite_mismatch: False
# max_print_term: None
# max_print_hyps: None
# max_print_subgoals: 2
# max_proof_time: 300
# max_tactic_time: 2
# linearize: False
# proof_times: None
# filenames: [PosixPath2('point_cocyclicite.v'), PosixPath2('point_napoleon.v'), PosixPath2('point_angle.v'), PosixPath2('point_tangente.v'), PosixPath2('point_orthocentre.v'), PosixPath2('point_Simson.v')]
# use_hammer: False
# check_consistent: True
# show_failing_predictions: False
# count_failing_predictions: False
# count_softfail_predictions: False
# careful: False
# relevant_lemmas: local
# command_limit: None
# proof: None
# log_anomalies: None
# log_hard_anomalies: None
# num_threads: 4
"Lemma colineaire_sym : forall u v : V, colineaire u v -> colineaire v u.",FAILURE,18
"Lemma colineaire_modulo_pi :
 forall u v u' v' : V,
 colineaire u u' ->
 colineaire v v' -> R (double (cons u' v')) (double (cons u v)).",FAILURE,38
"Lemma orthogonal_opp : forall u v : V, orthogonal u v -> orthogonal u (opp v).",FAILURE,24
"Lemma orthogonal_colineaire :
 forall u v w : V, orthogonal u v -> colineaire v w -> orthogonal u w.",FAILURE,19
"Lemma colineaire_transitive :
 forall u v w : V, colineaire u v -> colineaire v w -> colineaire u w.",INCOMPLETE,15
"Lemma double_orthogonal :
 forall u u' v v' : V,
 orthogonal u u' ->
 orthogonal v v' -> R (double (cons u v)) (double (cons u' v')).",INCOMPLETE,54
"Lemma critere_orthogonal :
 forall u v : V, R (cons u v) (cons v (opp u)) -> orthogonal u v.",INCOMPLETE,13
"Lemma critere_orthogonal_reciproque :
 forall u v : V, orthogonal u v -> R (cons u v) (cons v (opp u)).",FAILURE,22
"Lemma bissectrice_double :
 forall I A B C : PO,
 bissectrice I A B C ->
 R (double (cons (vec A I) (vec A C))) (cons (vec A B) (vec A C)).",FAILURE,10
"Lemma bissectrice_unicite :
 forall I A B C J : PO,
 bissectrice I A B C -> bissectrice J A B C -> colineaire (vec A I) (vec A J).",INCOMPLETE,27
"Lemma bissectrice_direction :
 forall (I A B C : PO) (u : V),
 bissectrice I A B C ->
 R (cons (vec A B) u) (cons u (vec A C)) -> colineaire (vec A I) u.",INCOMPLETE,27
"Lemma isocele_bissectrice_hauteur :
 forall I A B C : PO,
 bissectrice I A B C -> isocele A B C -> orthogonal (vec A I) (vec B C).",INCOMPLETE,67
"Lemma orthogonal_bissectrice :
 forall u v : V, orthogonal u v -> R (cons (opp v) u) (cons u v).",FAILURE,15
"Lemma bissectrice_hauteur_isocele :
 forall I A B C : PO,
 bissectrice I A B C -> orthogonal (vec A I) (vec B C) -> isocele A B C.",FAILURE,30
