# prelude: .
# output_dir: search-report-compcert
# verbose: 0
# progress: True
# read_progress: False
# hardfail: False
# context_filter: None
# weightsfile: /home/zoe/Desktop/proverbot9001/bench/../data/polyarg-weights-compcert.dat
# predictor: None
# truncate_semicolons: True
# search_width: 5
# max_attempts: 10
# search_depth: 6
# hard_depth_limit: 200
# resume: True
# overwrite_mismatch: False
# max_print_term: None
# max_print_hyps: None
# max_print_subgoals: 2
# max_proof_time: 300
# max_tactic_time: 2
# linearize: False
# proof_times: None
# filenames: [PosixPath2('g1.v'), PosixPath2('Group_definitions.v'), PosixPath2('gr.v'), PosixPath2('Relations.v'), PosixPath2('Z/Zbase.v'), PosixPath2('Z/Nat_complements.v'), PosixPath2('Z/Zle.v'), PosixPath2('Z/Z_succ_pred.v'), PosixPath2('Z/Zadd.v'), PosixPath2('g3.v'), PosixPath2('g2.v'), PosixPath2('Laws.v')]
# use_hammer: False
# check_consistent: True
# show_failing_predictions: False
# count_failing_predictions: False
# count_softfail_predictions: False
# careful: False
# relevant_lemmas: local
# command_limit: None
# proof: None
# log_anomalies: None
# log_hard_anomalies: None
# num_threads: 4
"Let h : forall x y : U, In U H x -> In U H y -> In U H (star x y).",SUCCESS,3
"Lemma phi_unfold :
 forall (a : U) (n : nat), In U G a -> phi a (S n) = star a (phi a n).",SUCCESS,4
"Lemma positive_powers :
 forall (a : U) (n : nat), In U H a -> In U H (phi a n).",SUCCESS,10
"Lemma tech_exp :
 forall (a : U) (n : nat), In U G a -> star (phi a n) a = phi a (S n).",INCOMPLETE,14
"Lemma tech_exp' : forall n : nat, phi e n = e.",INCOMPLETE,12
"Lemma phi_exp :
 forall (a : U) (n m : nat),
 In U G a -> star (phi a n) (phi a m) = phi a (S (n + m)).",INCOMPLETE,9
"Lemma powers_repeat :
 forall (a : U) (n m : nat),
 In U G a -> phi a n = phi a (S (S (n + m))) -> phi a m = inv a.",INCOMPLETE,13
"Lemma psi_not_inj : forall a : U, In U H a -> ~ injective nat U (psi a).",INCOMPLETE,19
"Theorem remaining :
 forall a : U,
 In U H a ->
 exists r : nat, (exists m : nat, phi a r = phi a (S (S (r + m)))).",INCOMPLETE,94
Theorem T_1_6_4 : Setsubgroup U H Gr.,INCOMPLETE,40
